Customer Name,Ratings,Review Title,Reviews
Bl@ckp3@rl,4.0 out of 5 stars,Good product overall,"Overall good quality ,have searched a lot about a printer with scanner for home usage purpose ,go through various products like intjet ,inktank and laser ,also have personal usage experience for the ink jet printers they are low price initially but the cartridge cost is high and u have to use it regularly otherwise its dried up ,
So m confused between laser black and white or inktank colour ,but after going through various reviews online pushes me to buy laser printer ,black and white and i dont have much requirememt for colour printing ,so initial cost for this printer is some what higher then both other competitors but the maintainance cost is less as said overall ,so finally choose this one ,those who want to use colour printing photos prinitng can go with inktank also its printing cost is lesser then inkjet ,
This is initial review will edit up after some more usage ,till now happy with my product ,as it has wifi connectivity ,also have scanning option ,and moreover easy to installl urself ,
One kore thing want to add on this review for newbies like me u have to install urself no demo will be provided so go through material provided ,and thanks for making my review usefull ,enjoy"
Joshua,5.0 out of 5 stars,Go for it,Working well in office almost a year now using it daily.
Jyothish Babu,4.0 out of 5 stars,Printer with super wireless connectivity,"I purchased this for home and very happy with this. Print quality is okay. What I liked is the wifi connectivity. Once connected using WPS on the router, it gives seamless printing access to all android mobiles, tabs and laptops in the same network. This is apart from the USB connectivity. One can print without connecting to router also - printer can be directly accessed through its wifi host from any device.
However, HP's printer software suit installation took very long time. I think it is packed with so many unnecessary things. Once installed, my desktop and laptop started crashing and slowing down (Windows 10 OS). Issue got solved when I removed everything, retaining only the drivers. Not sure the criteria only with me!"
Sanket,4.0 out of 5 stars,Good versatile printer but difficult to setup and no back-lit display,"Pros
1. Feature packed.
2. 88A can be refilled loads of videos on YouTube.
3. Hp connected we services allows you to print documents from printer by creating an email address for your printer. So any documents send to this xyz@hpeprint.com address will be printed from your printer.
4. Facebook Messenger bot to print docs using Facebook Messenger.
5. WiFi and network printing works great.
6. Tried hp eprint app on android and worked good.
7. Tried WiFi direct printing as well that too worked well from my Android phone.
8. You get detailed reports about the printer configuration which the printer can print for you.
9. Detailed Web ui if you are connected to this using WiFi.

Cons
1. Setup is not friendly for a non technical user.
2. Display has no back light this is not a deal breaker but it's difficult to read even after tilting the display. I kept searching the menu to enable the back light.
3. Installer / driver did not run and install drivers on my windows 8.1 laptop but worked fine on win 7 and win 10 and Mac OSX 10.10 Yosemite.
4. First time WiFi setup using installer did not work on Windows any version I configured WiFi using the WPS button on my router it was quick.

Tip
1. To connect the printer to WiFi network use WPS button to join the network this is the easiest and quick way. Installer method did not work. In the installer it tries to pull WiFi settings from your laptop or pc and it fails every time I tried this.

Toner
No idea on how many pages will I be able to print on the stock toner will update here."
ravi,5.0 out of 5 stars,Working good and easy,Good quality and easy working
Mukund Rajamannar,4.0 out of 5 stars,Works great once you set it up right,"Connect to it via USB or Wifi Direct and you are able to configure everything using a web browser. You need to enable the Wifi Direct using the panel in front.

The biggest problem comes afterwards from HP itself. They have their own ""Easy Start"" software for the MacOS which is out dated and doesn't work with latest version of MacOS 10.15.7. Moreover, it enables with HP web print service which is not required. My suggestion is not to install any custom HP software for this printer on the MacOS and just use the built-in drivers.

Everything works fine once it is setup and it is surprisingly quick."
rahul,4.0 out of 5 stars,It's a good printer which does what it says,"It's a good printer which does what it says
Giving it 4 star as Pricing is little high, the model I have bought doesn't have wifi."
Andrews Nabam,4.0 out of 5 stars,Nice product,"Nice product but cartridge cost around 8k which is very much higher
In price ?? ek printer ??? aa jayega 8k main."
ALAMIN SK,3.0 out of 5 stars,Nice ??,Nice pic ??
Alok R.,5.0 out of 5 stars,Good printer for hone and for commercial purpose,It's valuable product for day to day life for home and office
JJR,4.0 out of 5 stars,Good product - but bit pricy,"I just bought the product its been 5days...so far good experience. not very sure about the cost per sheet (if someone knows please pin). one negative point is the display you need to switch your mobile torch to see what is displaying. customer support from HP is very real-time and fast (excellent). Amazon delivery is as per agreed time- great work.
did not used the copy and scan yet. will update once I am."
Ranjeet,5.0 out of 5 stars,Wonderful Product saving my time making life easy on the go !!,"I was very sceptical after reading reviews about this printer here. After reading review and fitting in my budget with the wireless feature I wanted, I ordered this. Many people has written about the features and review here. Let me write few amazing features that people seems not explored.

1. This has remote printing feature over email. You need to create email ID (used software in CD and not to download over internet) on their domain hpeprint.com and from anywhere in world just send the printing material as attachment to that email address. Printer will download that over internet and print that. Just like virtual fax, This is an amazing feature for me.

2. Cloud printing that suits me as I receive lot of material for my school going kids and I travel a lot. I simply need to send that document either through email or print using ePrint app.

3. Direct printing feature - you can directly connect printer wifi and print without any router.

4. True Apple Print feature. Can print directly from apple product without router.

5. Through HP connect, you can make setting changes etc in printer remotely over internet from anywhere in the world.

Overall this is helping me a lot in saving time on the go...not only mine but my wife as well as she need to spare time to print what I forward over email. I can simply forward email to printer email ID. Even printer is switch off, this get printer once printer switch on. Printer must be connected to your home/office internet either wifi or lan.

Recently I was out of India on business trip and need some document copy urgently. I called home and ask my kid to put the paper on scanner one by one and I remotely scanned all and all came to my laptop instantly.

There is also secure printing feature...I have not explored that in detail yet.

Wonderful solution for me. Overall excellent product."
King,4.0 out of 5 stars,Best for Home Use,"This is the best printer in 15K range, Whoever thinking of buying printer should go ahead with this one. It is best for normal home use.

However i do like to mention some pros and cons for this printer...

* Pros-
1. It has great print quality.

2. Wi-Fi is hussle free just connect with Android app.

3. Easy Menu buttons i.e Photocopy,Scan,Double-Side Print etc.

*Cons-
1. Scanner is not upto the mark, having price range of 15K should have given some quality scanner.

2. Backlit Issue, Yes there is no backlit on screen provided on menu buttons.

3. Software/Drivers provided by them with the printer might be bit outdated so you will have to manually download the latest version of the software."
Sanjeev pacharne,3.0 out of 5 stars,good,smooth but complicated to install
Vijaykumar jain,5.0 out of 5 stars,Superb item totally hassle free printer,"Very easy to install and haselfree for use
Totally satisfied with the same
Worth for money"
Hridyesh,4.0 out of 5 stars,Review After 1 Year,"Writing this after 1 year.
Product is very smooth, no issues.
There is one backlight issue though which can be resolved if you place it under led lamp or something.
Writing this to spread the fact that the cartridge of this laser peinter laster for 12 months wich medium usage.
This is good.!!"
Amazon Customer,3.0 out of 5 stars,Unable to Scan,"The print function on Wifi was easy to install and works well. The challenge is to get the scanner function on the wireless. I spent over three hours, installing various drivers, HP scanning application and HP printer and scanner doctor but the issue is unresolved. As of now, I can get the document scanned and displayed on the screen but the app does not permit me to save the pdf file on my computer disk. Also, a simple 200 dpi scan took a fairly long time. I also read that there are certain issue in connectivity of this printer when using Windows 10. All this is pretty frustrating. I wonder if someone has solved the wireless scanning function for this printer linked to a windows 10 laptop else I regret having selected this model."
Jahangeer Alam,4.0 out of 5 stars,Interesting Product!!,"Model - M126nw. Professional tip: Always purchase an extra perfect toner with your new printer :)

My Quick Find outs are - stars:

1. Good Toners effectively accessible at just shy of 500 INR on Amazon so no stress over printing cost.

2. WiFi arrangement and remote printing is very simple (by telephone or workstations)

3. Utilizing it as system printer atm (by LAN port in my little office)

4. Print quality is wonderful 5/5 for that

5. Photograph Copy/Xerox are so fine, get befuddled which one is unique in the event that I duplicate (if duplicate b/w)

6. Examining quality is pleasant as well.

Cons:

A few interesting points before purchasing this printer:

1. Incapable to duplicate/examine huge size of papers (legitimate size)

2. No backlight in computerized show screen"
Sushil K Aggarwal,2.0 out of 5 stars,PRB WIFI AND GST NO OF PURCHASER WRONG,not able to run wifi and GST BILLING IS WRONG. TRIED TO CALL HP CONSURMER CARE BUT NOT USEFUL
M P,3.0 out of 5 stars,Good printer but....,Brief review - i bought this model as i wanted wifi based model. But sadly it is difficult to connect each n every time from mobile to printer. Sometimes it doesn't connect and we have to reboot the device. In todays world mostly everyone wants prints from mobile. But it is difficult task for me. We have to waste atleast 10 mins connecting to device. Thats d main issue for me. Rest i feel all printer companies are making good printers. It doesn't matter print per minute and all for me.
Shaddy,5.0 out of 5 stars,Good printer with affordable price,Good printer and value for money as I used for 1 week . Setup was easy .
Ved sharma,5.0 out of 5 stars,Good ??,Good ??
Sen,4.0 out of 5 stars,Glad I have bought this printer,"I was looking for laser jet without scanner and to my surprise not many options hence went ahead and bought this. I am glad that I have purchased this. The HP Smart app is simply amazing and with WiFi direct it works like a pro. I now use the scanner more than printer to scan and upload my kids h/w. Only disappointment is I am unable to pair with my WiFi, followed the steps but still doesn’t work. Got similar feedback when I did a google search. Another drawback is very expensive for a b/w printer."
Tinu,4.0 out of 5 stars,Good product,"Just delivered the product yesterday... Installation process i found it difficult..
The setup installation I installed from website since CD setup was showing error.
Normal setup via USB was okay to setup.But I struggled a lot in setting up wifi...Gone through many YouTube videos for the same..Its working good now..

Pros:
Scan, copy,print in one device
Wireless option available.

Cons:
Device little heavy.
Setup installation was difficult.
Slightly pricey than other devices.

Hopefully all should be worth it.
Reducing one star due to setup installation."
Harish Kumar Nellore,4.0 out of 5 stars,Suitable printer for home,"Overall it is a good product and the suggestion is to pay a little more additional better to buy the duplex printer so to avoid the changing the paper when we print for both sdie.
HP is always the best in their products and especially the quality and this product is really value for money and very compact in size and recommended product."
Prabhat,5.0 out of 5 stars,Quality one in average priced,I am using this printer in my Office since four months and running good. Print quality is very nice. If would be nice if it prints both sides without manual feed.
Dhiraj,5.0 out of 5 stars,Good,"Good product from hp.
Meets the need . Wifi printing needs user frendly upgradation."
Keshav_s7,4.0 out of 5 stars,Great printer for the price,"Pros:
Works as expected.
Wireless printing is supported on multiple platforms. Android, IOS and Windows.
The HP smart app is really great.
HP e-print service seems really helpful when not around the printer.

Cons:
Prints, especially the copies can lack contrast. A quick change in contrast settings should fix that immediately.

The display has no back-light. Hard to see if the display isn't close (+- 30cms) to eye-level or when in dimly lit areas."
govindraj,4.0 out of 5 stars,PHONE CORD AND CD MISSING,Both phone cord and CD missing
mrvdas,5.0 out of 5 stars,Product,Good product
S. K. GOODWILL DISTRIBUTORS,5.0 out of 5 stars,Best Printer For Office Use!!!,"1. Easy to install. Just go through the instructions given in the booklet provided to you.
2. Great look and attractive model from HP.
3. Print from any device from anywhere.
4. All in one printer makes your work easy going and hassle-free.
5. WiFi connectivity help you go to wireless printing.
6. Fast printing (only a few seconds)
7. No printing noise
8. Prints smooth like butter.
9. Easy to operate an LCD panel with a clear display.

This printer is suitable for offices only. Don't buy for home use at such a high price. I bought it at NO COST EMI. Thanks to Amazon Pay Later feature."
Altamash,3.0 out of 5 stars,Poor software and interface to connect through wifi,Poor software and interface to connect through wifi
Amazon Customer,3.0 out of 5 stars,Wireless Printing is great. Scan only on Windows via HP Smart!,"HP smart app (Scan feature) works selectively only on windows 10. It doesn't work on android phones even on latest versions. Somehow they are not addressing it. It should be a simple software update fix. If you are looking for a can feature, better off with this model and see if there are other printer models which work seamlessly.

The printing however is great and seamless either from android or windows."
Krishan lather,4.0 out of 5 stars,Good printer for office or home,"Excellent printer, scanner and copier.
But worst part is that whenever your black toner become low and you have to refill drum and powder both and it will never stop showing that message.
Easy to use and install.
Wifi feature is also very useful.
No data cable required if you have any internet facility."
RAJESH AGOLA,5.0 out of 5 stars,Superb printer,Superb printer.
Amazon Customer,4.0 out of 5 stars,GREATE PRINTER,"I am writing this review after almost 04 months of extensive use with quite satisfaction.
Pros: I) Excellent print quality. ii) Scan/ copy quality is also very good. iii) sound less. Wi-fi is an added advantage. iv) comes with original packing. v) Amazon delivery is very fast, I received it within 1 day.
cons: I) price tag is little higher side ii) display is not LED illuminated, difficult to view without proper lighting condition of the room. iii) Printer cartridge which comes with the printer, does not come with full toner, exhausts very fast. iv) should have come with auto reverse printing in this price tag."
Dharmesh Padhra,5.0 out of 5 stars,Fantastic investment,"Using it since a month and working amazing. Moreover, it is a laser printer so even if i print after 2 month, no maintenance is required like inkjet printer. It only prints monochrome but its worth it to buy laserjet printer rather buying inkjet printer and increasing your expenses of maintenance. Amazing product with simplistic and classic looks."
Sunil,4.0 out of 5 stars,Print Quality is Good,"Print Quality is V good, Scan is OK. HP does not support online for installation and other troubleshooting. This is Second printer of HP were i have faced such problem. Or else Printer is V good in this Segment for Office use."
SUKANYA GHOSH,4.0 out of 5 stars,Unsatisfactory Display panel,"The only problem with this printer is the display panel. It is very difficult to see what is written as it is not backlight and you literally have to shine a torch to read what it says. This is made even more frustrating because it has settings etc that can be configured on the printer itself. Other than this obvious design flaw, the printer is great!"
sushil shera,5.0 out of 5 stars,Ok,Outstanding
Tushar Nagda,5.0 out of 5 stars,Best in class.,"I have used several printers by now and HP has done a commendable job. Laser printers are the best if you're looking for speed. Had several issues with wireless printing. Specially from Laptop. Still figuring it out. Mobile app works flawlessly and printing is fast. Copy and scan are also good. Wi-Fi signal is pretty strong, you can literally print from any corner of your home if you have average size home. I don't think there is any better option than this printer in this price range. Go for it."
Mainak Choudhuri,4.0 out of 5 stars,"Good printer, check CDs and invoice","Good printer, connects wirelessly without any problem, though I need to take a printout to get the mac and ip address of the printer, so that I can add it to the routers allowed devices. HP could print the mac address on the side of the printer, as done in many other printers. I have connected the printer exclusively through wifi, but people can use both lan and wifi together, say for a desktop and laptop/mobile.
The box contains two driver CDs for Mac and none for Windows, so buyers beware. The link for the product page in HP's site is [...], where you can get the drivers and manuals, deducted one star for that. Also, check the serial number on the invoice and that on the printer itself, they should match.
Print quality and speed is good. The demo cartridge should print about 550 pages, as the monitoring software says."
Mihir Mondal,5.0 out of 5 stars,Good printer,Good product
Robin Singh Yadav,4.0 out of 5 stars,Decent printer but I feel like it's overpriced.,"The print quality from this printer is above average.
You can easily setup Wi-Fi on this and can print through your phone or even laptop, although the printing takes some time.
Bought it for 13.4k, which I feel is a bit expensive but the scanning and variety of options compensates that.
Does take some time to start up and start printing, not that fast if you were thinking.
Got around 400-450 pages from the starting cartridge and bought a new one for 800.
The Hp Smart app for phone doesn't work that quite well, faces issues like it couldn't scan or copy from the app, the printing was fine though."
Varkala Marine Palace Pvt Ltd,1.0 out of 5 stars,Toner Faulty,The Print quality was horrible and after a few weeks we realize that the powder is leaking from the drum. Certainly this is not big news for HP and so far no assistance on ground than HP follow up consolation. Have a feeling not to buy online again and pretty sure being cheated / being accused of some wrong doings at the end. Wondering if the New product must be thrown in the dustbin or sell it for some pittance.
Mohammad Zuber,4.0 out of 5 stars,Print quality is good but speed is very slow,"Print quality is best but speed is very slow.
HP 126nw is best"
Kalpit Rathi,4.0 out of 5 stars,Best printer available at this price,"Pros:
1.Amazing print quality (as compared to the hp laser printer that I own - Laserjet 1018)
2.Scanner too is above average
3.Wireless print ability makes it stand out - especially print via smartphone, it also has Airprint support for apple devices
4.Cloud print and dedicated print directly via hp email address (that too free), all together another feather in the cap
5.Wireless LAN access to printer settings is another handy feature
6.Additional features like: Photocopy, ID Card copy, Copy size configuration from printer panel

Cons:
1.No LED backlight for display screen; which makes it difficult to check in low light conditions
2.Dont expect to run it on inverter, you might end up in a deadlock situation as it sucks lot of power - just like any other laser printer

5 Years and still working as new"
Nagaraju Munjuluru,4.0 out of 5 stars,Good perfamenc.,Easy installation
MD SHAKIR PASHA,4.0 out of 5 stars,No comments,"It has mentioned , duplex printing, but in the manual booklet received, it is clearly mentioned that it could not print duplex itself, we have to manual process for duplex printing. This is very disappointed me. Other wise the product is very good"
ashok,5.0 out of 5 stars,Recommandble product .,Recommandble product . Easy to install and world class product and recommandble printers o home and office purpose. Premium segment
Abhishek Rathore,5.0 out of 5 stars,Old model but still the best one,"I was looking for a laser printer with WiFi capability and selected this printer based on my budget and its overall reviews on Amazon and external sites.
Delivery:: Delivered in 2 days to the door step, Plastic wrapped not bubble, but handled properly with some minor dents in packaging.
Setup and Driver installation: setup is easy. On MacOS, the system itself has prompted for supporting drivers.
WiFi setup is easy as well. Apps from HP are available to enhance the experience on mobile devices.
Print quality and ease to use: Currently my whole family can connect to the printer using computer or mobile device using wifi. It takes 10-15 seconds first to warm up and can print 15 pages per minute. Quality is good and best performance and quality was observed for the documents in DOC format. Copy function works well and there is a workarround possible to get double sided copy.
Limitations: Not capable to perform double sided print and copy automatically. Limited capacity of the free cartridge.
Suggestions: Kindly use the instructions manual to unwrap the cartridge before using."
Jash,4.0 out of 5 stars,"Works fine initially, but need to see the performance in future","I'm writing this review after two months of usage of this product. Print quality is good, works well with Wi-Fi direct. The only problem is u need to change the drum of your cartridge that was supplied with this product after printing a bundle of papers while refilling the cartridge, other than that everything is fine"
Vikash,5.0 out of 5 stars,Best Printer - For Professional Use,"This Printer is best suitable for the Office purpose who can use Monochrome (Black & White) color printouts.

PROS:
1. Best Print Quality.

2. Faster Printouts.

3. Scanning - Quality is Good.
NOTE: For getting the best scanning quality, we need to use the Software and Adjust the BRIGHTNESS and CONTRAST to get the Scanning with High Quality.

PRINTER's DEFAULT SCAN SETTING WILL GIVE YOU THE WORST SCANNINGS. SO, BEFORE SCANNING PLEASE MAKE SURE, YOU HAVE SET THE BRIGHTNESS AND CONTRAST IN THE HP PRINTER SOFTWARE.

4. Wifi - Connectivity - Best - Tested in Android Device through the App HP Service Plugin.

CONS:
1. Printer's Display doesn't have Back-Light. So it is very difficult to work in a dark environment. At this price range, they would have given the Back-Light for the Display.

2.Unable to Update Printer Software. Whatever the software which comes in CD will be usable. This is the hassle which I faced."
UTTAM KUMAR,5.0 out of 5 stars,Excellent product,Excellent product but in addition of this purchase I did not get the free and offer item which was an HP headphone.
YetAnotherGuy,5.0 out of 5 stars,M126nw - Best laser printer with so many features in this price segment,"Model - M126nw. Pro-tip: Always buy an extra compatible toner with your new printer :)
My Quick Find outs are --- pros:
1. Compatible Toners easily available at just under 500 INR on Amazon so no worry about printing cost.
2. WiFi setup and wireless printing is extremely easy (by phone or laptops)
3. Using it as network printer atm (by LAN port in my small office)
4. Print quality is awesome 5/5 for that
5. Photo Copy /Xerox are so fine, get confused which one is original if I copy (if copy b/w)
6. Scanning quality is nice too.

Cons:
Some things to consider before buying this printer:
1. Unable to copy/scan large size of papers (legal size)
2. No back-lit in digital display screen"
Dipankar Nayak,5.0 out of 5 stars,Its VALUE for Money,"Liked the WIFI feature - You can take a print from almost any thing.. A laptop, an iPHONE, an Andriod phone..
It makes life easy....

Disliked - the build quality could have been better. The rubber buttons (which I think, in next 4-5 years) may wear out ..
Overall - The print quality (monochrome) is excellent. The print speed is great and Last but not the least -they delivered me the product in one day...."
Vedant Agarwal,4.0 out of 5 stars,Very good Printer,"The product is very good. Sound proof print and scan. Wireless facility is perfect.
However, beware of AMAZON tricking you by issuing the bill in a different seller name than from whom you have ordered. HP does not provide warranty on products from all sellers.
Other the product is very good. Though it takes time and some expert knowledge to install the printer and scanner wireless facility and the LCD does not have lights so its really difficult to see at night.
Other wise the product is perfect for wireless and e-printing.
But I am warning you again to check seller name in invoice before taking delivery. I have been waiting for last 5 days. to get it corrected but to no avail."
Anand Swaroop Sharma,5.0 out of 5 stars,"Great Product , best price with few service cons !!","Great printer, I have been using it for a couple of months. Local Wifi connectivity was smooth as desired. It can connect directly with laptop as a wifi device through network router. ( you may not be able to have two printers setup together i.e., one as wifi-direct other as wifi-network). So you have two smooth options to print : USB cable and through Wifi-direct/wifi-network.

HP claims to have e-Print enabled, but it didn't work for me tried to set it up for a couple of hours with HP support on phone , they ultimately sent an engineer on site to do the setup, who was Tech-illiterate from a franchisee and they swiftly the complaint without any followup/check/feedback. So don't expect e-Print to work always. Not all HP online support personnel are knowledgeable, I luckily found one after switching few, who agreed to call me over phone and fixed the setup issues to a great extent. so some support engineers are great depends on who you get. :)

Buy for the great product build, at this price"
Vinod Sharma,5.0 out of 5 stars,Very nice product,Very nice quality
MANU,4.0 out of 5 stars,Honest review,"I have been buying HP printers for last 15 years. This is my 4th product at home. Happy as always but the value for money is missing. Software are on CD and none of my family members have CD reader in laptops so had to download from internet on each system. Moreover setting up was little difficult, especially wifi printing setup. They did not provide any guide or tutorial for that."
Roshan M,2.0 out of 5 stars,3 year review. PURCHASED in 2015,"THE WORST PRINTER>
I'll keep it short.
PROS:
-Prints at a good speed and good and easy Printing. Get many pages from one Cartridge.
-Good for printing a huge pdf at once.
Cons:
-Wi-Fi range is a line of sight. If Laptop in another room it would take a long time to get the information of data to print.
- Blacks are not deep black, even if it's not on Eco mode.
- I have a dual router at home that is 5Ghz and 2.4 GHz for my internet. So when you using this on wifi, the printer will only connect to the 2ghz one. So you have to disconnect the internet on your device and connect to the Printer wifi and then print.
- Printing on wifi is a SLOW process. The times I needed to print something quick its never been able to just work.

If you using only for USB or cable only then it might be good.
- The scanner has been getting some black staining inside which doesn't reproduce the best quality scans.

In short, this is the last time I am purchasing HP as a printer brand.
The Fact that to print 1 page I have to go through so much, doesn't classify this a friendly printer at all."
pgm,1.0 out of 5 stars,Doesn't print brightly at a after changing cartridge too,One of the worst printer. Brought fr home/off purpose but after a year it started printing lightly changed cartridge and called service person also nothing worked some tech software error complete junk now.
RAM,3.0 out of 5 stars,I don't recommend if looking for a best:Check the reveiw .,"It has been 20 days since I have bought this printer.
Over all print quality is OK .

The quality of the print of colors like blue (light) is very bad in the grey scale ,it is printed very lightly .Not checked with all the colors .

Scan quality is good .

Support from hp is also great .

16k I expect the printer to be better...

Go for a better one .

Or if your print job is frequent,go for a inkjet printer color .

Thank you !

Hope this helps ."
Niranjan Singh,4.0 out of 5 stars,Easy to install,Good for personal use
Rohan,4.0 out of 5 stars,Good quality print,Print quality is good. At this price range good printer i must say. All the aspects are good. If that screen is provided with light means would have been even more better. Scan quality felt little low as compared to other HP Scanner.
LiveRoots,5.0 out of 5 stars,Worth to buy and useful for small business,"Value for money. Suitable for small business and home. Print, scan and copier working fine. Easy to setup."
konchok tundup,4.0 out of 5 stars,All the best ????,
SOMA SAMPATH KUMAR,5.0 out of 5 stars,Good for the people who are looking for all in one laser jet printer,It is very tough to install. We tried calling tech support team for installation but none responeded. We got it installed from private source and got paid service.
Hans Raj Kumar,5.0 out of 5 stars,USED CATRIDGE HAS BEEN INSTALLED IN THE NEW PRINTER.- LIGHT PRINTING.,I have started using printer and it has been gathered that the refill attached with the machine is used one and giving dim printing. Very strange and direct appropriate person to replace the ink cartridge . Thanks.
EMPOWER EVENTS,4.0 out of 5 stars,Very good laser printer.,Printer is good. and Amazon has offered a fantastic deal. disappointed by technical support of HP. couldnt use the wifi command instantly after installation. the technical support helped me installing the USB pattern but failed to set up the wireless operations. awaiting resolution to this. will get back with my feedback on same post a successful completion of installation.
Sudhir Manchanda,3.0 out of 5 stars,Toner needs to be certified to actually print number of pages promised.,"The printer is installed at home and is working well. However the TONER is showing empty though so far I have not even printed 100 pages.
It's something that can't be reported because it takes that much time saved volume to print ace expend the toner."
Arvind Jhunjhunwala,4.0 out of 5 stars,very nice printer to have for home use,Only issue faced is in relation to double side printing which is a big headache as the printer invariably sucks more than one sheet while printing on the reverse side and this renders entire document useless.
Neil,5.0 out of 5 stars,Awesome printer,"Took the advice of a local printer ink refilling dealer, regard this model. No regrets, works beautifully. The most painful thing was getting the right driver software. It took almost one day of searching multiple google links to find the right driver software. The one given in the installation manual is outdated."
jayapriya,4.0 out of 5 stars,Cartiage over after printing about 250 to 300 pages,All are good ...i took only nearly 250 pages caritage is low it showing... actually how many pages it will print when the cartiage full i don't know...??
kirankumar.Dommu,4.0 out of 5 stars,Valuable product,It's working super and installing very easy
